Fecha,SHA-E01,SHA-E02,SHA-E03,SHA-E04,SHA-E05,SHA-E06,SHA-E07,SHA-E08,SHA-E09,SHA-E10,SHA-E11,SHA-E12,SHA-E13,SHA-E14,SHA-E15,SHA-E16,SHA-E17,SHA-E18,SHA-E19,SHA-E20,SHA-E21,SHA-E22,SHA-E23,SHA-E24,SHA-E26x,SHA-E27,SHA-E30,SHA-E34,SHA-P01,SHA-P02,SHA-P03,SHA-P04,SHA-P05,SHA-P06,SHA-P07,SHA-P08A,SHA-P09,SHA-P10,SHA-P11,SHA-P12,SHA-P13,SHA-P14
19-10-2004,88.72,121.38,80.56,65.48,90.81,95.25,34.81,32.54,42.28,53.98,11.9,11.51,25.15,15.59,12.47,12.95,20.23,2.24,1.04,102.86,94.76,80.24,12.88,3.64,NaN,47.33,0,0,90.14,97,92.7,64.84,34.5,32.49,41.96,12.06,21.27,13.51,26.25,1.3,78.62,46.83
04-11-2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-11-2004,88.53,121.22,80.43,65.37,90.67,95.06,34.74,32.47,42.2,53.89,11.86,11.46,25.09,15.63,12.36,12.91,20.16,2.18,1.04,102.69,94.61,80.11,12.84,3.63,NaN,47.2,0,0,90.01,96.85,92.57,64.74,34.43,32.4,41.87,12.01,21.19,13.48,26.17,1.28,78.48,46.73
21-12-2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-01-2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-01-2005,88.58,121.28,80.47,65.39,92.6,95.06,34.74,32.48,42.19,53.92,11.88,11.51,25.11,15.78,12.21,12.94,20.15,2.27,1.05,102.75,94.64,80.1,12.91,3.65,NaN,47.25,0,0,92,96.88,92.6,64.76,34.43,32.4,41.89,12.02,21.21,13.49,26.2,1.29,78.53,48.76
23-02-2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-02-2005,88.59,121.24,80.47,65.4,90.61,95.05,34.73,32.48,42.19,53.88,11.8,11.44,25.09,15.72,12.09,12.92,20.15,2.25,1.04,102.69,94.58,80.09,12.8,3.6,NaN,47.17,0,0,90.05,96.87,92.61,64.77,34.42,32.4,41.87,11.96,21.19,13.51,26.17,1.34,78.49,46.66
17-03-2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-03-2005,88.59,121.22,80.42,65.35,90.68,95.02,34.7,32.44,42.17,53.85,11.8,11.41,25.13,15.72,12.01,12.92,20.17,2.27,1.05,102.69,94.58,80.07,12.8,3.65,NaN,49.16,0,0,89.89,96.84,92.55,64.71,34.41,32.38,41.86,11.97,21.22,13.51,26.15,1.36,78.47,46.65
13-04-2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-04-2005,88.58,121.21,80.41,65.34,90.66,94.99,34.7,32.46,42.16,53.85,11.8,11.42,25.15,15.06,11.91,12.93,20.15,2.27,1.06,102.68,94.58,80.08,12.8,3.67,NaN,47.19,0,0,89.98,96.82,92.55,64.71,34.41,32.4,41.87,11.96,21.7,13.5,26.16,1.36,70.46,46.7
26-05-2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-06-2005,88.68,121.34,80.54,65.44,90.79,95.13,34.76,32.5,42.24,53.93,11.78,11.42,25.23,15.62,11.8,12.87,20.16,2.22,0.79,102.8,94.7,80.18,12.83,3.72,NaN,47.2,0,0,90.13,96.95,92.69,64.8,34.45,32.44,41.91,11.9,21.21,13.51,26.18,11.15,78.56,46.67
03-07-2005,88.69,121.37,80.55,65.44,90.81,95.14,34.76,32.51,42.25,53.93,11.78,11.44,25.23,15.61,11.84,20.17,20.15,2.23,0.78,102.77,94.7,80.17,12.81,3.72,NaN,47.18,0,0,90.14,96.95,92.68,64.78,34.45,32.43,41.91,11.9,21.19,13.51,26.18,11.14,78.56,46.68
21-07-2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-07-2005,88.9,121.46,80.56,65.46,90.85,95.64,34.81,32.54,42.28,53.98,11.72,11.38,25.37,18.25,11.76,12.89,20.91,2.56,1.03,102.9,94.77,80.29,12.83,3.65,NaN,47.17,0,0,90.23,97.32,92.71,64.82,34.5,32.49,41.95,11.89,21.57,13.46,26.3,1.37,78.66,46.65
19-08-2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-08-2005,89.92,121.44,80.57,65.48,90.87,95.66,34.8,32.53,42.27,53.97,11.77,11.4,25.38,18.26,11.77,12.91,20.93,2.57,1.03,102.92,94.78,80.31,12.87,3.66,NaN,47.17,0,0,90.24,97.33,92.7,64.83,34.49,32.48,41.94,11.91,21.57,13.47,26.32,1.38,78.67,46.65
27-09-2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17-10-2005,89.28,121.43,80.57,65.46,90.84,95.59,34.79,32.52,42.25,53.95,11.74,11.39,25.31,17.51,11.72,12.84,20.88,2.58,1.07,102.89,94.8,80.29,12.86,3.7,0,47.22,0,0,90.21,97.3,92.72,64.87,34.48,32.47,41.92,11.92,21.54,13.28,26.3,1.32,78.66,46.7
27-10-2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19-11-2005,88.88,121.44,80.59,65.51,90.82,95.58,34.72,32.46,42.27,53.96,11.76,11.39,25.3,18.05,11.69,12.83,20.86,2.52,1.03,102.91,94.8,80.29,12.92,3.74,NaN,47.27,NaN,NaN,90.22,97.29,92.73,64.88,34.48,32.47,41.85,11.95,21.53,13.28,26.31,1.33,78.66,46.75
30-11-2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-12-2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-01-2006,88.67,121.22,80.42,65.47,90.69,95.67,34.68,32.34,42.18,53.88,11.74,11.37,25.32,18.22,11.62,12.77,20.8,2.56,1.05,102.7,94.93,80.29,12.88,3.75,NaN,47.21,NaN,NaN,90.01,97.26,92.54,64.74,34.41,32.39,41.86,11.92,21.49,13.28,26.24,1.34,78.68,46.65
18-02-2006,88.91,121.41,80.58,65.49,90.86,95.52,34.76,32.49,42.23,53.93,11.69,11.34,25.26,17.75,11.52,12.74,NaN,2.47,1.05,NaN,NaN,NaN,NaN,3.66,NaN,47.29,NaN,NaN,90.16,97.21,92.7,64.84,34.45,32.42,41.88,11.86,NaN,13.34,26.26,1.28,NaN,46.73
16-03-2006,88.8,121.49,80.58,65.48,90.85,95.5,34.75,32.46,42.22,53.93,11.68,11.33,25.23,17.51,11.47,12.72,20.77,2.44,1.19,102.85,94.78,80.25,12.66,3.77,97.09,47.21,169.8,84.87,90.15,97.2,92.63,64.84,34.44,32.4,41.87,11.85,21.47,13.36,26.23,1.27,78.63,46.679
30-03-2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18-04-2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-05-2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-05-2006,88.65,121.25,80.44,65.37,90.7,95.31,34.7,32.41,42.13,53.85,11.66,11.32,25.17,17.43,11.4,12.71,21.74,2.47,1.08,102.69,94.59,80.1,12.69,3.73,NaN,NaN,169.65,NaN,89.98,97.01,92.53,64.74,34.39,32.36,41.8,11.84,21.45,13.32,26.23,1.29,78.46,46.7
25-05-2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-06-2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-07-2006,88.693,121.315,80.505,64.82,90.755,95.342,34.355,32.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-07-2006,0,0,0,0,0,0,0,0,42.225,53.918,11.667,11.312,25.2,17.728,11.305,11.716,20.715,2.437,1.075,102.768,94.647,NaN,12.7,3.706,NaN,47.208,170.12,84.735,90.048,97.078,65.448,65.49,34.445,32.433,41.89,11.85,21.438,13.332,26.34,1.305,78.52,NaN
23-07-2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-08-2006,88.715,121.342,80.533,65.47,90.77,95.358,34.785,32.52,42.255,53.595,11.355,11.71,25.237,17.68,11.342,12.747,20.737,2.44,1.06,102.82,94.7,80.198,12.745,3.715,NaN,47.27,170.105,84.765,90.075,97.066,92.64,64.842,34.475,32.46,41.92,11.895,21.415,13.362,26.28,1.3,78.574,46.685
17-08-2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-08-2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17-09-2006,88.732,121.364,80.554,65.495,90.797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18-09-2006,0,0,0,0,0,95.364,34.813,32.544,42.285,53.975,11.714,11.355,25.23,17.468,11.372,12.737,20.718,2.443,1.067,102.82,94.718,80.213,12.76,3.729,NaN,47.292,166.418,84.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19-09-2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.092,97.102,92.645,64.867,34.502,32.49,41.948,11.899,21.453,13.351,26.279,1.296,78.589,46.455
26-09-2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-10-2006,88.725,121.362,80.55,65.485,0,0,34.8,32.533,0,54.96,11.73,11.36,25.23,17.43,11.378,12.735,20.722,2.453,1.06,102.842,94.718,80.21,12.785,3.735,NaN,0,170.104,84.803,90.095,0,0,0,34.495,32.477,41.935,11.41,21.387,13.357,26.292,1.192,78.585,0
15-10-2006,0,0,0,0,90.645,95.208,0,0,42.174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.154,0,0,0,0,92.502,64.743,0,0,0,0,0,0,0,0,0,46.768
26-10-2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-10-2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-10-2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.157,0,0,0,0,0,0,0,0,0,0,0,0
15-11-2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-11-2006,88.643,121.351,80.521,65.483,90.745,95.198,NaN,NaN,NaN,NaN,11.7,11.303,25.232,17.438,11.351,12.706,20.667,2.4,1.022,102.643,94.61,80.213,12.78,3.764,0,47.162,170.112,NaN,90.212,92.003,92.498,64.679,NaN,NaN,NaN,11.396,21.41,NaN,26.287,1.198,78.459,0
28-12-2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-12-2006,88.689,121.368,80.621,65.503,90.61,95.459,34.789,33.001,42.201,54.89,11.59,11.352,25.19,17.428,11.369,NaN,20.735,2.451,1.009,102.8,94.638,80.189,12.693,3.699,NaN,47.224,170.074,84.751,90.088,94.321,92.16,NaN,34.481,34.41,41.899,11.3,21.215,12.289,26.31,1.17,79.001,46.688
25-01-2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-02-2007,88.616,121.252,80.46,65.389,90.673,95.197,NaN,NaN,NaN,NaN,11.709,11.348,NaN,17.562,11.144,12.685,20.65,2.45,0.998,102.627,94.603,80.098,12.711,3.746,NaN,NaN,170.229,NaN,89.983,96.969,92.509,64.764,NaN,NaN,NaN,11.785,21.393,13.329,NaN,1.28,78.464,46.59
27-02-2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-03-2007,0,0,0,0,0,0,34.714,32.454,42.19,53.883,11.714,11.356,25.163,17.701,11.104,12.697,0,2.461,0.998,0,0,0,0,3.765,NaN,47.127,0,84.76,0,0,0,0,34.407,32.4,41.854,11.895,0,13.336,26.292,1.282,0,NaN
24-03-2007,88.659,121.311,80.502,65.43,90.714,95.233,0,0,0,0,0,0,0,0,0,0,20.644,0,0,102.731,94.651,80.129,12.752,0,0,0,170.314,0,90.024,97.002,95.538,64.796,0,0,0,0,21.398,0,0,0,78.507,0
17-04-2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-04-2007,88.661,121.321,80.509,65.43,90.716,95.227,34.728,32.466,42.205,53.902,11.74,11.376,25.172,17.489,11.057,12.693,20.63,2.462,0.998,102.743,94.643,80.129,12.764,3.781,NaN,47.186,170.318,84.78,90.033,97.011,92.542,64.804,34.421,31.414,41.87,11.922,21.309,13.337,26.309,1.279,78.507,46.622
23-05-2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-06-2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-06-2007,88.695,0,0,0,90.75,95.235,0,0,42.245,0,11.725,11.38,25.127,17.536,11.155,12.7,20.635,2.46,1.006,102.796,94.7,80.175,NaN,3.77,NaN,47.15,0,0,90.067,97.05,92.562,64.84,34.46,0,0,11.91,0,0,26.35,1.294,78.552,46.567
24-06-2007,0,121.375,80.555,65.75,0,0,34.765,32.498,0,53.945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.755,84.826,0,0,0,0,0,32.446,41.905,0,21.41,13.35,0,0,0,0
