p10 - 4.5	p25 - 4.5	p50 - 4.5	p75 - 4.5	p90 - 4.5	p100 - 4.5	p10 - 8.5	p25 - 8.5	p50 - 8.5	p75 - 8.5	p90 - 8.5	p100 - 8.5
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0.14379	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	3.5398e-07	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	3.4802e-13	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0.55
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0.22
0	0	0	0	0	0	0	0	0	0	0	7.15
0	0	0	0	0	0	0	0	0	0	0	3.85
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	1.5376	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	7.0797e-08	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	1.5926	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	7.9644e-10	0	0	0
0	0	0	0	0	0	0	0	6.3716e-10	0	0	0
0	0	0	0	0	0	7.3272e-05	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0.00029309	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	2.9693e-07	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	2.4073	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
2.9833	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0.0072027	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	5.3459e-06	2.9689e-07	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	2.257
0	0	2.346	0	0	0	0	0	0	0	0	0
0	0	2.8151	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0.0093273	0	0	0	0
0	0	0	0	3.8916	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0.0046637	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0.069023	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	6.0706e-06	0	0	0	0	0
0	0.068997	0	0	0	0	4.8564e-06	0	0	0	0	0
0	0	0	0.83481	0	1.523	0.02905	0	0	0	0	0
0	0	0	1.6696	0	0	0	0	0	0	0	0
0	0	0	0.33393	0	0	0	0	0	0	0	0
0	0	0	2.5044	0	0	0	0	0	0	0	0
0	1.3778	0	0	0	0	0.1162	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	2.8479	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0.18371	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	6.3872e-06	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	1.1356	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0.42584	0	0	0.61612
0	0	0	0	0	0	0	0	0	0	0	0.77015
0	0	0	0	0	0	0	0	0	0	0	1.2322
0	0	0	0	0	0	0.43881	0.30166	0	0	0	0
0	0	0	0	0	0	0.87762	0.60331	0	0	0	0
0	0	0	0	0.48358	0	0.17552	0.12066	0	0	0	0
0	0	0	0	0	0	1.3164	0.90497	0	0	0	0
0	0	0	0	0	0	0	0	0	0	1.7212	0.90691
0	0	0	1.3904	0	0	0	0	0	0	0	1.1336
0	0	0	0.6952	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	2.8569	0	0
0	0	0	0	0	0	0	0	0	2.9712	0	0.56682
0	0	0	0	4.8358	0	0	0	0	1.7141	0	0
0	0	0	0	0	0	0	0	0	2.7426	0	0
0	0	0	0	0	0	0	0	0	2.5141	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	5.8949
0	0	0	0	0	0	0	0	0	0	0	1.1336
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
2.9537	0	0	0	0	0	0	0	0	0	0	14.057
0	0	0	0	0	0	0	0	0	0	0	2.494
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
1.1815	0	0	0	0	0	0	0	0	0	2.5818	0
1.4768	0	0.94925	0	0	0	0	0	0	0	0	0
4.4305	0	0.94925	0	0	6.7735	0	0	0	0	0	0
0.98455	0	0	0	0	2.8223	0	0	0	0.4571	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	6.4228	0	0	0	0	0	0	6.4227	0	0	0
0	1.0036	0	0	0	0	0	0	1.0036	0	0	0
0	0.20844	0	0	0.69333	0	0	0.54773	0.62792	0.57823	0	0.58955
11.03	0	0	0	7.6266	0	0	5.1121	5.8606	5.2041	0	0.58955
0	0	0	0	1.8819	0	0	0	0	6.3606	0	5.8955
0	15.946	0	0	6.5371	0	0	0	0	0	0	3.5373
11.03	7.7124	0	0.11144	4.9523	0	0	0	0	0	0	0
0	1.5633	0	0	0	3.485	0	0	0	0	0	20.752
4.596	0.31266	0	2.1174	0	2.3233	0	0	0	1.1565	0	4.009
7.3535	9.2757	0	4.9035	0.89142	0.23233	0	0	0	0	0	8.2537
3.6768	0	0	0	2.08	0	0	0	0	0	0	15.328
0.91919	0.10422	0	15.49	8.9142	4.6466	0	0	0	0	0	6.3672
1.103	0	0	1.8945	0	13.011	0	0	0	0	0	4.1269
0	0.10422	0	0.11144	0	0	0	0	0	0	0	5.8955
0	4.5857	0	0	0	0	0	3.1038	3.5582	4.0476	0	11.791
0.36768	0.41688	0	0	0	0	0	4.1993	4.8141	0	0	11.791
13.236	4.3773	0	0	0.79237	0	0	3.2864	3.7675	0	0	3.5373
0	2.9182	0	0	0	0	0	3.8341	4.3954	0	0	0.94328
0	0	1.7732	0	0	0	5.2978	4.5644	5.2327	0	0	5.8955
0	0	0.8866	0	0	0	0	2.9212	3.3489	0	0	14.149
0	0	1.3299	0	0	0	0	2.5561	2.9303	0	0	9.4328
0	0	0	0	3.9619	0	0	0	0	0	0	0
1.103	0	0.17732	0	0	0	0	0	0	0	0	0
6.4343	0	1.7732	0	0	0	0	0	0	0	0	0
4.1364	2.6055	0	0.22288	0	0	0	0	0	0	0	6.4851
1.2869	0.10422	0	0	0	0	0	2.9212	3.3489	0	0	0
0.4596	0	0	0	0	0	0	10.955	12.558	0	0	0
0	0	0	0	0	0	0	0	0	0	5.481	0
3.8606	0	0	0	0	2.3233	0	0	0	0	0.68513	0
0	0	4.8763	0.22288	0	0	0	0	0	0	15.758	0
0	0.20844	3.5464	0.11144	0	0	0	0	0	0	21.239	0
0	0	0	0	0	0	0	0	0	0	2.7405	0
0	0	0	2.7861	0	0	0	0	0	0	2.7405	0
0	0	0.93745	0	0	0	0	0.57124	0	0	0	0
0	0	0	3.1806	0	0	0	0.57124	2.2314	0	0	0
0	0	17.343	0	0	0	0	5.7124	0	0	0	0
0	0	3.7498	14.207	2.1933	0	0	3.4274	3.3471	0	0	0
0	0	0	2.6505	9.2117	0.11135	0	0	0	0	0	0
6.0453	0	0	0	0.8773	0	0.12833	20.107	0	0	0	0
0	0	0	0	0	2.1156	0.064163	3.8844	0	0	0	0
1.2954	0	0	0	1.7546	4.8993	0	7.9973	0	0	0	0
0	1.0824	0	18.447	5.2638	0	0	14.852	0	1.0618	0	2.5757
0	0	0	1.5903	23.863	15.477	0	6.1693	0	0	0	3.606
0	0.21648	0	0	9.3871	1.8929	0	3.9986	0	0.21237	0	0.10303
0	0	0	0	5.527	0.11135	0	5.7124	0	0	0	1.3394
0	0	0	0	2.9828	0	0	11.425	0	0	0	11.127
0	0	0	0	0	0	0	11.425	0	0	0	6.6969
0	0	0	0	0	0	0	3.4274	0	0	0	5.8726
0	0	0	0	0	0	0	0.91398	0	0	0	0.82423
0	0	6.0934	1.4843	0	0	0	5.7124	6.6942	0	0	0.7212
0	0	8.9058	1.5903	8.5098	0	0	13.71	2.2314	0	0	2.4727
0	0	1.4062	1.0602	10.264	0	0	9.1398	3.3471	0	0	13.6
0	0	0	0	7.0184	0	0	0	6.1363	0	0	0.92726
0	5.8449	0	5.301	5.7025	0	0	0	11.157	5.734	0	0
0	3.7884	2.3436	2.1204	1.7546	0	0	0	1.1157	3.7165	0	0
0	0.54119	0	0	0	0.22269	0	6.2836	21.756	0.53092	0	0
0	0.21648	0	0.5301	0	0	0	0	0	0.21237	0	0
2.6988	1.6236	3.7498	4.0287	0	0	0	0	0	1.5928	0	0
0	5.1955	0.46872	0.5301	0	0	0	0	0	5.0969	3.3188	0
1.6193	0	0	2.6505	0	0	0	0	0	0	7.9652	0
0	7.0355	0	0	0	0.22269	0	0	0	6.902	0	0
0	0	0.63147	0	0	0	0	0.30595	0	0	0	0
0	0	6.9461	0	0	0	0	2.7536	0	0	0	0
0	0	1.714	0	0	0	0	0	0	0	0	0
0	0	5.9538	0	0	0	0	0	0	0	0	0
0	0	4.5105	0	2.7818	0	0	0	0	0	0	0
0	0	0	0	0	0	7.8837	0	0	0	0	0
0	0	0	0	6.4578	0	4.9273	0	0	0	0	0
0	0	0.81188	0	3.4773	0	0	0	0	0	0	0
0	0	1.8944	0	0	0	0	0	0	0	0	13.657
0	0	8.1188	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	3.5408
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0.72167	0	0	0	0	0	0	0	0	0
0	0.92774	0	0	0	0	0	0	0.92772	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	3.6084	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	2.0233
0	0	0	0	1.987	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	1.821
0	0	0	0	0	0	0	0	0	3.9796	0	3.035
0	0	0	0	0	0	0	0	0	0	0	3.5408
0	0	0	6.7606	0	0	0	0	0	0	0	4.8559
0	0	0	1.0563	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0.016705	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0.24098	0	8.7954	0	0	0	0	0	0	0	0
0	0	0	3.8339	0	0	0	0.06682	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	1.4395
0	0	0	0.11276	0	0	0	0	0	0	0	0.71973
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	7.1005	0	0	0	0	0	0	0
0	0	0	0	0.47337	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	2.2	0	0
4.4656	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0.24094	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
