Porquesa	Piga	Chaquina	Guañare	Collacagua	Batea	Sillillica Norte	Diablo Marca	Columtucsa	Sillillica	Chilin Chilin1	Chilin Chilin2	CC3	CC4	Rinconada1	Rinconada2	Rinconada3	Rinconada4	Rinconada5	CC5	Laguna
0.000105323771772548	0.00012269771571316	0.000140268431756433	0.000121922484012449	0.000139163226477383	0.000210791007094706	0.000183539094468705	7.45994244111627e-05	0.000102360905596451	5.74213941275297e-05	3.93084460923984e-05	4.55935803365914e-05	3.22536442804697e-05	4.14437067934583e-05	3.07709225163572e-05	6.09175278959746e-05	1.76700139647445e-05	7.34961954033444e-05	5.64886597370067e-05	4.47348795067664e-05	1.74374690942427e-06
6.14682061386827e-05	1.78647084252551e-05	-0.000199408044888572	0.000124796940162126	2.3732932052745e-05	2.286905934062e-05	5.10562538681333e-05	2.25727095621094e-05	4.47739257964101e-05	1.39453404825093e-05	4.45902365058144e-05	5.96867466644485e-05	5.96867466644485e-05	5.96867466644485e-05	5.87912319778529e-05	4.30152864556141e-05	1.97257669881672e-05	3.58927979963704e-05	5.08068334928366e-05	5.96867466644485e-05	1.60665601560596e-06
6.95114165551325e-05	2.26283827752327e-05	0.000423378281054352	0.000126220721406266	2.42139390457137e-05	2.80675393164515e-05	5.46038337005128e-05	2.34772036489296e-05	4.59601352576087e-05	1.41866625590069e-05	4.3238116678269e-05	5.78955086426905e-05	5.78948362371239e-05	5.78948362371239e-05	5.7024940111628e-05	4.24420729437101e-05	1.89473725788909e-05	3.7027639573386e-05	4.92926225478456e-05	5.78948362371239e-05	2.0999402599937e-07
6.12232841543797e-05	2.05958528913037e-05	0.000402226616740516	0.000122499370481484	3.36854071846007e-05	3.81755435021456e-05	5.43495183026651e-05	2.40677197631396e-05	4.57919722804434e-05	1.4184532694718e-05	4.27634276790989e-05	5.728541487942e-05	5.71481570643244e-05	5.72421225051921e-05	5.62803049342747e-05	4.25552234195986e-05	1.87756514599053e-05	3.69957489658004e-05	4.91265796721531e-05	5.72763338373227e-05	3.81506308084461e-07
6.97754906566507e-05	2.99879606923673e-05	0.000400470169018264	0.000121506299073589	3.89510017621596e-05	4.65129233752249e-05	7.69292584480383e-05	2.79450330813196e-05	5.1743039618977e-05	1.47658106072464e-05	4.50760759216145e-05	6.066471972001e-05	5.92250927838543e-05	6.02105072351215e-05	5.82049108654719e-05	4.50914385888748e-05	1.97562941216107e-05	3.76610957854997e-05	5.33714301551292e-05	6.05692786931661e-05	1.95850878349814e-07
7.29972724317414e-05	3.23501126479204e-05	0.000423320011477221	0.000132805640965384	3.93513165976064e-05	4.8684445871825e-05	9.25339007772181e-05	2.95019919799879e-05	5.54378860779877e-05	1.59846916171831e-05	4.35593480207753e-05	5.86229603196369e-05	5.72325100353969e-05	5.81842672085019e-05	5.62447668744363e-05	4.35036015916128e-05	1.90831016445864e-05	3.99931172975035e-05	5.16345777711544e-05	5.85307805694901e-05	1.91089370013906e-07
6.75815002416617e-05	2.90322207888692e-05	0.00039472249803936	0.000125426051636187	3.70112619195328e-05	4.48146891062216e-05	8.62465741601284e-05	2.79098459439678e-05	5.20943982308046e-05	1.49632610451538e-05	4.21816452572135e-05	5.67683445098427e-05	5.54225347163297e-05	5.63437390813529e-05	5.44641173841853e-05	4.20910058333419e-05	1.84710163125272e-05	3.75303010107327e-05	4.99956758358999e-05	5.66791251657977e-05	1.86831664898397e-07
6.32700334747542e-05	2.64873496010761e-05	0.000369557768695745	0.000118951889583324	3.48886755355739e-05	4.24282202972624e-05	8.12855163764255e-05	2.64996830289502e-05	4.91574268096068e-05	1.40696823138675e-05	4.07632534752707e-05	5.48590082938091e-05	5.35590460642332e-05	5.44488709074296e-05	5.26309602853344e-05	4.06395300244764e-05	1.78414949546581e-05	3.53507904659026e-05	4.83086660471412e-05	5.47728292424367e-05	1.82289433276865e-07
6.96788191506226e-05	3.05044284263758e-05	0.000366669943620889	0.000120692786539838	3.43697028595478e-05	4.28129399906138e-05	8.0171674038033e-05	2.63308521118216e-05	4.92264798296885e-05	1.41372468895157e-05	3.94124275057424e-05	5.30406321943398e-05	5.17842875066942e-05	5.26442588870915e-05	5.08850707462636e-05	3.92569929873353e-05	1.72419000235769e-05	3.53242381813493e-05	4.67019926162895e-05	5.29573454877031e-05	1.77973833031718e-07
5.97506211995271e-05	2.41994019725301e-05	0.000320262849535087	0.000105442722024009	3.07459035996895e-05	3.8382448365469e-05	7.15626159914791e-05	2.37070387714758e-05	4.32601704019373e-05	1.22668952926684e-05	3.81670132856123e-05	5.13641594443126e-05	5.01479873184879e-05	5.09804628943233e-05	4.92753800097058e-05	3.79823240000813e-05	1.66890797583838e-05	3.09873859915925e-05	4.52207933009427e-05	5.12835365793184e-05	1.74008361500437e-07
