p10 - 4.5	p25 - 4.5	p50 - 4.5	p75 - 4.5	p90 - 4.5	p100 - 4.5	p10 - 8.5	p25 - 8.5	p50 - 8.5	p75 - 8.5	p90 - 8.5	p100 - 8.5
9.23863084598798	10.1362725388601	9.93354242424239	10.5254490437159	9.06680638646286	9.45323542686242	11.0576578175896	10.4846254515599	7.00636241273715	2.43742829916963	11.4766864383561	10.6259447023484
9.23863084598798	5.852754989277	5.76333544678775	10.0145868965517	8.72100130929791	3.27415454639009	10.7511031918368	4.42651541881924	9.86649623380511	3.94957910696919	8.01875737615177	9.80357192265794
9.92171349972573	8.93264451542455	9.93354242424239	6.71033641332615	9.06680638646286	6.86110112043303	7.75710664856055	4.21019957235881	10.9939666484865	6.57880849921494	11.4766864383561	4.6616097893456
9.23863084598798	10.1362725388601	9.93354242424239	10.5254490437159	9.06680638646286	9.45323542686242	10.1415056921409	6.60170449607574	5.19658540151312	4.48548334558229	6.08795723311741	7.39098302092963
6.32259755013554	9.63997594409429	9.93354242424239	4.35921169978391	3.2326156978114	10.4211701177437	11.0576578175896	10.4846254515599	4.24163431939329	2.43742829916963	5.54262713957205	5.49698145719298
9.23863084598798	4.0849222168691	9.33817644643824	6.71033641332615	2.89175577271501	3.27415454639009	10.7511031918368	10.3244273889343	7.00636241273715	3.94957910696919	8.01875737615177	4.02337513172246
9.92171349972573	2.31740895568458	4.003096102161	9.480321290147	5.33560689756098	9.45323542686242	10.7511031918368	6.60170449607574	7.00636241273715	8.94029320923913	11.4766864383561	4.6616097893456
6.32259755013554	9.63997594409429	5.76333544678775	10.0145868965517	1.39337196340903	10.4211701177437	4.5909441729152	4.42651541881924	5.19658540151312	9.17863259462424	11.1123087125748	7.39098302092963
9.23863084598798	5.852754989277	9.33817644643824	4.35921169978391	3.2326156978114	9.45323542686242	11.0576578175896	6.60170449607574	4.24163431939329	2.43742829916963	4.53520102087097	9.87724482058987
10.3642096835788	4.0849222168691	9.33817644643824	6.71033641332615	1.39337196340903	10.4211701177437	10.7511031918368	10.3244273889343	9.86649623380511	3.94957910696919	10.3605071869919	10.6259447023484
2.90764967938159	9.63997594409429	9.33817644643824	9.480321290147	2.89175577271501	10.3540287537333	10.1415056921409	4.42651541881924	10.4588986507243	9.17863259462424	11.4766864383561	9.80357192265794
3.63585063139001	9.63997594409429	3.05083067408108	10.5254490437159	5.33560689756098	9.45323542686242	10.7511031918368	9.46845723762918	3.88736184245539	4.48548334558229	11.4766864383561	5.49698145719298
9.92171349972573	9.63997594409429	5.76333544678775	10.0145868965517	9.71256419584243	10.4211701177437	5.7691638608119	10.4846254515599	7.00636241273715	3.94957910696919	11.1123087125748	4.6616097893456
4.7365580532829	2.31740895568458	9.33817644643824	4.35921169978391	9.06680638646286	10.3540287537333	7.75710664856055	10.3244273889343	9.86649623380511	6.57880849921494	4.53520102087097	7.39098302092963
9.92171349972573	9.63997594409429	5.76333544678775	9.480321290147	1.39337196340903	3.27415454639009	10.1415056921409	4.42651541881924	10.9939666484865	9.17863259462424	10.3605071869919	10.6259447023484
9.23863084598798	5.852754989277	9.33817644643824	10.5254490437159	5.33560689756098	6.86110112043303	10.7511031918368	2.61849668583784	10.4588986507243	9.93874395991334	11.4766864383561	4.02337513172246
10.3642096835788	3.29566722619882	5.76333544678775	10.0145868965517	9.71256419584243	10.4211701177437	4.99903544762226	6.60170449607574	7.00636241273715	4.48548334558229	11.1123087125748	9.87724482058987
3.63585063139001	5.852754989277	9.93354242424239	4.81465959600646	9.71256419584243	10.4211701177437	10.7511031918368	10.3244273889343	10.4588986507243	2.43742829916963	4.53520102087097	4.02337513172246
6.32259755013554	9.63997594409429	9.33817644643824	4.35921169978391	9.71256419584243	10.3540287537333	5.7691638608119	4.21019957235881	9.86649623380511	6.57880849921494	5.54262713957205	9.87724482058987
9.92171349972573	8.93264451542455	4.003096102161	9.480321290147	9.06680638646286	4.27526148354944	11.0576578175896	6.60170449607574	10.9939666484865	8.94029320923913	6.08795723311741	7.39098302092963
4.7365580532829	6.93170798994752	5.76333544678775	10.5254490437159	3.2326156978114	6.86110112043303	5.7691638608119	4.21019957235881	10.4588986507243	9.17863259462424	10.3605071869919	9.87724482058987
3.63585063139001	6.93170798994752	8.81064874760736	3.00768195128344	1.39337196340903	10.4211701177437	10.1415056921409	10.3244273889343	3.88736184245539	4.48548334558229	11.4766864383561	5.49698145719298
6.32259755013554	4.0849222168691	9.93354242424239	6.71033641332615	2.89175577271501	10.4211701177437	10.7511031918368	9.46845723762918	4.24163431939329	8.94029320923913	6.08795723311741	4.02337513172246
9.23863084598798	2.31740895568458	9.33817644643824	9.480321290147	9.06680638646286	6.86110112043303	5.7691638608119	2.61849668583784	9.86649623380511	4.48548334558229	5.54262713957205	4.6616097893456
9.92171349972573	5.852754989277	3.05083067408108	10.0145868965517	3.2326156978114	9.45323542686242	4.99903544762226	4.21019957235881	10.4588986507243	2.43742829916963	8.01875737615177	7.39098302092963
4.7365580532829	8.93264451542455	9.93354242424239	3.00768195128344	2.89175577271501	10.4211701177437	7.75710664856055	2.61849668583784	3.88736184245539	9.93874395991334	11.4766864383561	10.6259447023484
4.7365580532829	10.1362725388601	9.93354242424239	9.480321290147	8.72100130929791	10.4211701177437	11.0576578175896	4.21019957235881	9.86649623380511	9.17863259462424	8.01875737615177	9.80357192265794
6.32259755013554	9.63997594409429	9.93354242424239	10.5254490437159	9.06680638646286	10.4211701177437	4.5909441729152	6.60170449607574	10.9939666484865	9.17863259462424	10.3605071869919	9.87724482058987
