Porquesa	Piga	Chaquina	Guañare	Collacagua	Batea	Sillillica Norte	Diablo Marca	Columtucsa	Sillillica	Chilin Chilin1	Chilin Chilin2	CC3	CC4	Rinconada1	Rinconada2	Rinconada3	Rinconada4	Rinconada5	CC5	Laguna
0.00017686194425806	0.0001898220280827	0.000213984056753504	0.000176735933724583	0.00020123070963708	0.000305716671861213	0.000265000664742338	0.000130299413767877	0.000169564698992714	0.00011397578424565	9.36007830882738e-05	7.95484847683342e-05	6.61609754176519e-05	7.52992799948966e-05	6.45872261276078e-05	0.000120461200675547	4.70783359878155e-05	0.000132558438653587	9.6679638084546e-05	7.86589880711265e-05	1.58264428866504e-05
9.92120580116669e-05	5.45589093838166e-05	-0.000119614449362557	0.000155576106456845	3.71481188930437e-05	4.22994921182844e-05	8.48459344228039e-05	3.61861503125776e-05	6.53784985998414e-05	3.17123956757089e-05	5.81553370133883e-05	6.6410665971499e-05	6.60970625380928e-05	6.63075219521805e-05	6.51100172144748e-05	5.25051441984072e-05	2.24068335294512e-05	5.09886207124928e-05	5.89573463859532e-05	6.63889890839241e-05	4.93825682370421e-06
9.82031610322538e-05	5.49918166191463e-05	0.000503386273632489	0.000153314951825587	4.74422454872768e-05	5.91591239414947e-05	0.00012046997461456	3.90500617929576e-05	6.87245051066772e-05	2.49245653123412e-05	5.36509737505261e-05	6.58148654758983e-05	6.50746859809674e-05	6.55813585062313e-05	6.40640531329246e-05	5.08221584616368e-05	2.15176700818175e-05	4.97534571936612e-05	5.90488389975078e-05	6.57657913903319e-05	1.08292964084158e-06
9.57716630947405e-05	5.37090099259933e-05	0.000483888819573778	0.000149659526648915	5.17273611210996e-05	6.40123025692598e-05	0.000118085187879772	3.8076842239268e-05	6.70409452942914e-05	2.42558440199528e-05	5.1766466864595e-05	6.36905895870283e-05	6.28549879337689e-05	6.33836534162063e-05	6.1875630854768e-05	4.93592265514627e-05	2.0823623470467e-05	4.8466015025552e-05	5.72437667798171e-05	6.36260836606046e-05	1.05583654246098e-06
9.37880138068228e-05	5.25820850432578e-05	0.00046615665998982	0.000146400167636925	4.98859941500175e-05	6.17250944307223e-05	0.000115669775382643	3.76045433964488e-05	6.59464808536704e-05	2.390720686979e-05	5.00785702418163e-05	6.18359578767541e-05	6.08577035670491e-05	6.14015560277071e-05	5.99092123811881e-05	4.83266146212589e-05	2.02222643311277e-05	4.77717330701431e-05	5.57214995884489e-05	6.17442149800839e-05	1.0323106948338e-06
9.13010396615438e-05	5.14936687807112e-05	0.000447207104395807	0.000142894838733641	4.81158280189785e-05	5.98302777776709e-05	0.000112127086604381	3.66915195137936e-05	6.40775320559932e-05	2.32420725183427e-05	4.82987578177636e-05	5.97511025101915e-05	5.88097204433133e-05	5.93350108173595e-05	5.78912215854419e-05	4.67573154054547e-05	1.95327478408305e-05	4.64335875357256e-05	5.3822487721477e-05	5.96636720512802e-05	1.00721279375531e-06
9.00628577063115e-05	5.15874225200658e-05	0.000431979322911152	0.000140104437372012	4.75689347903384e-05	5.93127630243944e-05	0.000111248876428635	3.68130465660945e-05	6.38898473068034e-05	2.3345020784593e-05	4.74579752766473e-05	5.89667360394917e-05	5.75864187361111e-05	5.84159856084967e-05	5.66499136052119e-05	4.64318150162133e-05	1.92727347819239e-05	4.64447623624056e-05	5.33739393064407e-05	5.88510056488306e-05	1.01300303125809e-06
8.77157463369222e-05	5.0372138421747e-05	0.000414383725910982	0.00013650565294929	4.59935075789674e-05	5.74224673873985e-05	0.000107799652530758	3.59036592211176e-05	6.22660623072865e-05	2.25951600005872e-05	4.59471533148258e-05	5.72736319764774e-05	5.58059533458012e-05	5.6699251987534e-05	5.48850162897078e-05	4.50771606341522e-05	1.87018010165314e-05	4.51539522978307e-05	5.18387071396903e-05	5.71529355560684e-05	9.60160455941881e-07
8.53914076129852e-05	4.78140647635382e-05	0.000397405780239439	0.000133373572766837	4.42375910386906e-05	5.52267568063825e-05	0.000103552626450843	3.47543647616669e-05	6.02829419787531e-05	2.17620650270233e-05	4.43430382793604e-05	5.5374493689971e-05	5.39560981161246e-05	5.48194043369992e-05	5.30637970094114e-05	4.35227862216174e-05	1.80744868116597e-05	4.35808660203838e-05	5.01146659873962e-05	5.52578512801e-05	9.37428843418237e-07
8.32539197189562e-05	4.66027538282255e-05	0.000381819275765014	0.000130498486260907	4.26244374486289e-05	5.32104447636953e-05	9.96379453198736e-05	3.37127015586572e-05	5.84595409278582e-05	2.09964318747133e-05	4.28660351686304e-05	5.36236421367012e-05	5.22506331889692e-05	5.30863179581612e-05	5.1384726746896e-05	4.20897946485377e-05	1.74961437198189e-05	4.21305837532989e-05	4.85255231991562e-05	5.35107331229887e-05	9.16541485702447e-07
8.10041190008106e-05	4.48137621641604e-05	0.000366130194299866	0.000127420829767448	4.09897068706974e-05	5.1168169838466e-05	9.56697882782958e-05	3.26350732491804e-05	5.65746119902351e-05	2.02179027469159e-05	4.13542867744377e-05	5.1820930512456e-05	5.04945553513503e-05	5.13018590938294e-05	4.96560041905932e-05	4.06201041311574e-05	1.69013592486425e-05	4.06446203749313e-05	4.68900073271584e-05	5.17118572987033e-05	8.94258361430954e-07
7.89816767129957e-05	4.33340042077452e-05	0.000351856755816906	0.000124675340080744	3.95040093458858e-05	4.93127734649175e-05	9.20482579008969e-05	3.16583919259262e-05	5.4865183632275e-05	1.95106825880521e-05	3.99805504668592e-05	5.01832944396944e-05	4.88992550533873e-05	4.96807933323676e-05	4.80855107210692e-05	3.92837698455005e-05	1.63608932948895e-05	3.92931464905789e-05	4.54044416879764e-05	5.00777034423251e-05	8.74332964467652e-07
7.72201921045071e-05	4.30068364579531e-05	0.000337939156059534	0.000121997473710661	3.82482026991964e-05	4.771019686086e-05	8.88615330880441e-05	3.08618145387683e-05	5.352570704836e-05	1.90001098641168e-05	3.8792945886076e-05	4.87866002185118e-05	4.7417652785142e-05	4.82606163249297e-05	4.66184658295378e-05	3.8256528347948e-05	1.59080772183156e-05	3.82413579139111e-05	4.42070740268746e-05	4.86760740855277e-05	8.83088686401548e-07
7.8773411811838e-05	4.59090466179841e-05	0.00033104461516514	0.000121040455545033	4.05560198943296e-05	4.97859791959864e-05	9.00369178745845e-05	3.2905094160169e-05	5.62022391161348e-05	2.15251377156566e-05	4.07928484745734e-05	4.98594924755621e-05	4.76545988963543e-05	4.90730352361548e-05	4.68080014954067e-05	4.1034873446276e-05	1.6435020065478e-05	4.11239507835157e-05	4.61704068065789e-05	4.96942270825842e-05	1.49555088589686e-06
8.64494880630208e-05	5.63744471612383e-05	0.000350142723736979	0.000124888531138758	6.08037706989054e-05	8.15870643323253e-05	0.000115387915002599	4.07324273374395e-05	6.73017983385964e-05	2.31657957707472e-05	4.47003702113408e-05	5.46556271394081e-05	5.14324801611237e-05	5.35509131667452e-05	5.04066070456093e-05	4.59094026282449e-05	1.77312157534416e-05	4.60080434189208e-05	5.24187935362814e-05	5.44234801046946e-05	9.09757705104418e-07
8.44698062347338e-05	5.51530525614052e-05	0.000340243044349771	0.000121158182983915	0.000111054222487823	0.000153388940152653	0.000131469275273622	4.11655533527337e-05	6.77655665908909e-05	2.11274597785951e-05	4.24675382518269e-05	5.50406528210168e-05	5.11627299713127e-05	5.37324924438649e-05	5.00814027763813e-05	4.49737955546009e-05	1.7803006627385e-05	4.45993430963866e-05	5.31876506462542e-05	5.47657527559216e-05	7.76752995584361e-07
6.59290597632114e-05	3.9902976071669e-05	0.000268650684601017	9.20209256519878e-05	0.000108876206283888	0.000150005088802522	0.0001122431743632	3.43773688195445e-05	5.69586909889232e-05	1.59417308454083e-05	3.85921492507782e-05	4.99139901086483e-05	4.95438576506206e-05	4.87281103746659e-05	4.84954742242433e-05	3.74550548538504e-05	1.6184857999277e-05	3.46674927482117e-05	4.8468710206764e-05	4.96647881562696e-05	7.59445923139957e-07
1.08556820779045e-05	2.02070604466964e-06	8.07990784574141e-05	7.35072530257226e-06	5.53334834201053e-05	7.87925178650983e-05	4.17508163777658e-05	1.15155017085877e-05	1.746714787857e-05	2.20441160253982e-06	2.03880575657054e-05	2.60389837153411e-05	3.0122617229944e-05	2.54204890346191e-05	2.94927393957312e-05	1.16903660404234e-05	8.54372152343261e-06	8.83567926329603e-06	2.56860399939848e-05	2.59090132374256e-05	5.11390899639961e-07
5.82325097352931e-07	0	1.28708890706178e-05	1.63115211409564e-10	1.62516437870454e-05	2.58090542962158e-05	1.38338624808254e-05	2.12878330571795e-06	1.36647815796227e-06	5.15175595294743e-07	6.51260002112963e-06	3.33315151415859e-06	9.21092458913838e-06	8.11967134957076e-06	9.01981561510695e-06	1.19085329427582e-06	1.18481367569473e-06	1.11649894503372e-06	3.82246217445165e-06	3.31651595702503e-06	1.66263563268379e-07
2.03951211201834e-06	1.66610539260646e-07	2.66547866824026e-05	2.61670127837076e-10	3.14312767525364e-05	4.92289184166277e-05	2.64250058948145e-05	4.41373282045586e-06	4.27391668773216e-06	8.00177106558643e-07	1.02807521411057e-05	6.43868473108904e-06	1.76812385006054e-05	1.25028713502873e-05	1.73220251370609e-05	3.44111556929862e-06	2.32953607964032e-06	1.71547977653656e-06	7.72026553849019e-06	9.59910952585385e-06	3.87452007621133e-07
9.5717269676649e-06	1.77844832171819e-06	5.3675621645937e-05	3.87684823016241e-06	4.23689041490868e-05	5.7810910619989e-05	3.70735109769456e-05	8.9791728452219e-06	1.13306046276425e-05	2.28914133279521e-06	1.98876903193274e-05	2.4083768103232e-05	2.65362185654353e-05	2.66869559665254e-05	2.59295460942457e-05	7.03957403098805e-06	7.85286403357008e-06	4.90031292368837e-06	1.88439653735784e-05	2.39265347203089e-05	5.15048203406697e-07
3.34964037385859e-05	1.59603417816372e-05	0.000158253612167619	3.5943764094119e-05	7.31922660249803e-05	0.000101171262992987	7.6032555771092e-05	2.13345636658399e-05	3.43947318074816e-05	7.81760396481686e-06	3.56029248213209e-05	4.69317230092704e-05	4.39408346365132e-05	4.54330357781732e-05	4.29116294154895e-05	2.18304309500741e-05	1.50632623974988e-05	1.95860538537354e-05	3.54656771738021e-05	4.66239275026962e-05	5.92576463834374e-07
3.54243714086453e-05	7.31547323851428e-06	0.000238625797502416	7.70035557141141e-06	7.78793132741154e-05	0.000100599430541999	5.96676596426691e-05	2.03203088482419e-05	5.78220112799541e-05	3.85704920396871e-06	4.00796612963438e-05	5.29517943632299e-05	4.76456784878518e-05	5.12616321158179e-05	4.65288374592646e-05	3.67377023159315e-05	1.69688100059289e-05	2.20791442088464e-05	4.97554673570077e-05	5.26046869511273e-05	6.48024722457912e-07
8.43878793413102e-05	5.39786730177527e-05	0.00031150670473027	0.000121911735583285	0.000100348544498946	0.000136376829449163	0.000129887587012858	4.31057278699408e-05	6.92664836362343e-05	2.09355199890783e-05	4.1407108718719e-05	5.47489873283286e-05	4.92651222516162e-05	5.30022886268015e-05	4.81093578948826e-05	4.47367184643806e-05	1.75408761622031e-05	4.49810390713314e-05	5.31974450495698e-05	5.43902831765751e-05	6.76349643105575e-07
7.98242768511301e-05	5.42149226641031e-05	0.000290349271653294	0.000115432184277631	9.32771840524535e-05	0.000126831220522281	0.000122012365442169	4.08459414304535e-05	6.55443859673956e-05	1.99175797521087e-05	3.87574781014739e-05	5.1291341373843e-05	4.61404304134089e-05	4.96485123054253e-05	4.50570592792961e-05	4.22000932008879e-05	1.64300915116406e-05	4.26214745124777e-05	4.99800662835673e-05	5.09539439957843e-05	6.39530347960128e-07
0.000114469733655654	0.000103159813547186	0.000339968501980722	0.00014669888443772	0.000113015098562422	0.000155234671178717	0.000165694744264318	6.37342875784091e-05	9.89560620936071e-05	4.7000511023797e-05	6.88778087375877e-05	6.84266912967289e-05	6.13379037563569e-05	6.61979023475727e-05	5.98241398747636e-05	7.37745801337816e-05	2.23089732984803e-05	7.8598040100626e-05	7.03686716170415e-05	6.7985559306545e-05	2.36039302891188e-06
0.00012750718831286	0.000122533767219869	0.00036570653641127	0.000155708620791207	0.000126229501150319	0.00018272224688275	0.000223344371398374	7.49822052396403e-05	0.000116561954091363	4.8815543114615e-05	7.24435745383273e-05	7.55429302468354e-05	6.65163960274794e-05	7.27126718955372e-05	6.47333098305474e-05	8.24932819191517e-05	2.4242550472274e-05	8.86481217750351e-05	7.8568626272458e-05	7.50067313103255e-05	1.51436970447208e-06
0.000124326135090956	0.00011779276802916	0.000364189337483474	0.000156667786687972	0.000177433735220311	0.000259430590078362	0.000244663404749746	7.79497276592733e-05	0.000118648335071698	4.88919490559846e-05	6.83480799859362e-05	7.53416265471822e-05	6.6276587889809e-05	7.24987019476983e-05	6.44506743352307e-05	8.11103768223313e-05	2.38630549138076e-05	8.74930075389991e-05	7.94363065473727e-05	7.4800544463014e-05	5.54588825306073e-07
8.10600900945354e-05	5.9244988089758e-05	0.00025981979009022	6.96659226197584e-05	0.00016018983478141	0.000231335117554745	0.00017618169829738	5.57822149555486e-05	9.18904949856548e-05	2.4619170197314e-05	6.24674159851595e-05	6.83027508921663e-05	6.2126691982412e-05	6.57268292334888e-05	6.0417301162176e-05	6.52539053766681e-05	2.16594584975086e-05	6.15594517061491e-05	7.20808477412267e-05	6.78125049819918e-05	5.42232031257612e-07
5.55956509023018e-06	3.75966883741776e-07	4.50301016212174e-05	1.97186756615329e-10	5.30436493034621e-05	8.72353826088164e-05	7.17656834197332e-05	1.02131063694976e-05	9.8924877227762e-06	3.56559984481215e-06	1.95106033652557e-05	1.56635815012181e-05	2.35326681548031e-05	1.72170352838427e-05	2.66730230784636e-05	1.1586183993424e-05	3.6990096956116e-06	8.13571388634031e-06	1.4670858990052e-05	1.55511907914734e-05	2.82686252804077e-07
2.50812943944499e-05	3.51333251208114e-06	0.00010196032392989	4.0313704155817e-10	9.31726982203288e-05	0.000139040948404562	9.57955637263625e-05	2.2937683294067e-05	3.49161272891198e-05	7.657571471864e-06	3.66317873313712e-05	3.43245791575233e-05	4.18535925750672e-05	3.73499672210876e-05	4.06110875735357e-05	3.067160977749e-05	1.09876838310119e-05	2.00417389975986e-05	3.79564475610273e-05	3.40783324290954e-05	3.89447801760576e-07
7.06478368949187e-06	6.80683532946554e-06	4.41020174915143e-05	1.43628749863298e-05	3.42738447951022e-05	4.52975200958165e-05	4.10151415781212e-05	9.38374840153344e-06	1.22308745862567e-05	4.97942403182161e-06	1.24043064366912e-05	1.31389070808494e-05	1.33133158601223e-05	1.26012813636328e-05	1.29171934565952e-05	9.790904892674e-06	3.50346788824365e-06	1.03374818776938e-05	9.97555886692356e-06	1.3044664505419e-05	1.29628052514045e-07
1.37331720067612e-05	2.63682417725442e-06	8.93840669878824e-05	4.01646171785791e-10	8.93874304916914e-05	0.000139026398968561	0.000100204635844899	1.85097170974422e-05	2.21421827672569e-05	7.10649926576864e-06	3.54308299466515e-05	3.03700979967302e-05	3.93936388043517e-05	3.53117698882296e-05	3.82310187206144e-05	2.19849145425761e-05	9.78972508633746e-06	2.14140617791751e-05	2.85170443431952e-05	3.01522912825209e-05	4.4778419306711e-07
4.62742862096242e-05	3.06798663064477e-05	0.000167156045979903	3.94278749120606e-05	0.000115918334193852	0.000175343700570565	0.000133275155326015	3.71048551230833e-05	5.44064328315764e-05	1.6628535937372e-05	4.77610930664293e-05	4.8420785876612e-05	4.91797671298835e-05	5.04355114191584e-05	4.77204678210825e-05	4.02229073535486e-05	1.54452404032797e-05	4.06363138745274e-05	4.82411091842558e-05	5.02310960460087e-05	4.53154804811546e-07
8.48953462105995e-05	4.71751625682744e-05	0.000261392554433021	5.68108056296024e-05	0.000142318987333808	0.000202935581022733	0.000156292890239105	5.18579672334096e-05	0.000107017343184627	2.18142109619119e-05	5.78558010461579e-05	6.62439839877695e-05	5.68082680033115e-05	6.31808678011936e-05	5.51165067035497e-05	7.00690823364755e-05	2.10212578432995e-05	5.38709853840624e-05	7.01797938371519e-05	6.56955098918879e-05	4.90079775755454e-07
9.1009067362602e-05	7.24067971810395e-05	0.000271862910153188	9.67528317737729e-05	0.000144066036022984	0.000204775285718701	0.000171495646384593	5.94633912093888e-05	9.54269028853917e-05	2.79984539401309e-05	5.57784379160171e-05	6.41263639583946e-05	5.49964153590512e-05	6.11627550879705e-05	5.33582063890273e-05	6.44586106594944e-05	2.03468509571228e-05	6.18025058179074e-05	6.77515541427894e-05	6.35957065389846e-05	4.79160344516826e-07
9.53077792552118e-05	8.78873410834878e-05	0.000273709729291368	0.000112040262906507	0.00014082763417941	0.000205172405464181	0.00017979922622209	5.86734724470181e-05	9.19926882578959e-05	3.09527078719494e-05	5.22707755224487e-05	5.88695164911586e-05	5.06029644856959e-05	5.61863404293801e-05	4.91271008765936e-05	6.19367503392573e-05	1.88431159140369e-05	6.69912757511984e-05	5.93469844059545e-05	5.83890754423411e-05	9.55800548321265e-07
0.000120282866069814	0.000120916543551077	0.000317798585134671	0.00015221050160846	0.000196950076004772	0.000296685542168469	0.000224433828218308	7.63257477894861e-05	0.000110686750215403	7.3024453821189e-05	5.56697609924196e-05	6.41097051998222e-05	5.52390136837351e-05	6.11263406948479e-05	5.36307642361645e-05	6.94640009740231e-05	2.03154759751915e-05	7.79226564421525e-05	6.98110640790077e-05	6.35685071443831e-05	4.47592223685287e-07
